,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00_06_매출_비율,시간대_06_11_매출_비율,시간대_11_14_매출_비율,시간대_14_17_매출_비율,시간대_17_21_매출_비율,시간대_21_24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수_06_매출_건수,시간대_건수_11_매출_건수,시간대_건수_14_매출_건수,시간대_건수_17_매출_건수,시간대_건수_21_매출_건수,시간대_건수_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,거리두기_단계
10,2019-1,1,U,관광특구,0,이태원 관광특구,10,예술학원,285389033.0,697,96,4,20,4,45,14,13,1,3,0,3,5,67,24,2,56,44,0,6,61,31,2,2,274379027.0,11010006.0,57655015.0,10983993.0,128404039.0,40985283.0,36350697.0,2406203.0,8603803.0,0,8681841.0,12834167.0,190021660.0,69656768.0,4194597,160352036.0,125036997.0,0,15659830.0,174025122.0,87177017.0,4254427.0,4272637.0,618,79,157,53,146,125,137,33,46,0,66,136,228,240,27,219,478,0,168,265,166,39,59,2,0
11,2019-1,1,U,관광특구,0,이태원 관광특구,11,일반의원,421950749.0,9834,86,14,20,14,23,10,19,14,0,0,17,30,31,22,0,41,59,0,32,36,14,11,7,364513351.0,57437398.0,85719025.0,58022793.0,98290955.0,41123716.0,81356862.0,57437398.0,0.0,0,72080461.0,126648656.0,129778219.0,93443413.0,0,173135234.0,245739907.0,0,132878564.0,152207058.0,60453614.0,45755068.0,27580837.0,8476,1358,1998,1528,1602,1638,1710,1358,0,0,1670,2480,3392,2292,0,3810,5941,0,2925,2957,1504,1273,1092,5,0
12,2019-1,1,U,관광특구,0,이태원 관광특구,12,치과의원,553392401.0,4159,93,7,18,16,18,16,26,5,1,0,6,46,28,19,0,55,45,0,14,19,26,23,18,516782902.0,36609499.0,98110557.0,88252085.0,97667276.0,90241890.0,142511094.0,28635130.0,7974369.0,0,34802066.0,255534530.0,157161133.0,105894672.0,0,302911808.0,249920961.0,81881,76866087.0,103436534.0,145195014.0,128865933.0,98387319.0,3795,364,709,666,690,820,910,354,10,0,693,1223,1509,734,0,2320,1797,10,360,617,1240,944,946,7,0
13,2019-1,1,U,관광특구,0,이태원 관광특구,13,한의원,169443899.0,5897,80,20,18,13,20,12,17,20,0,0,6,36,31,27,0,22,78,0,2,45,24,14,16,135944563.0,33499336.0,31127373.0,22410843.0,34045290.0,19755135.0,28605922.0,33499336.0,0.0,0,10625610.0,60934742.0,51846205.0,46037342.0,0,33102687.0,119530881.0,0,3738907.0,68704774.0,35803742.0,20571580.0,23814565.0,5255,642,1129,730,1047,1264,1085,642,0,0,447,2391,2148,911,0,1053,4340,0,284,1264,866,1182,1798,3,0
14,2019-1,1,U,관광특구,0,이태원 관광특구,14,당구장,15512456.0,1196,54,47,7,12,10,12,12,29,17,24,4,1,7,31,34,74,26,2,54,23,7,8,5,8305366.0,7207090.0,1153707.0,1886431.0,1505433.0,1884817.0,1874978.0,4567104.0,2639986.0,3712542,553470.0,162598.0,1081602.0,4732310.0,5269934,11536049.0,3976407.0,330086,8444264.0,3598850.0,1147990.0,1247213.0,744053.0,624,572,89,122,122,124,167,373,199,266,32,16,73,379,430,875,321,30,711,243,84,97,31,5,0
15,2019-1,1,U,관광특구,0,이태원 관광특구,15,골프연습장,41893442.0,978,70,30,7,14,8,22,20,18,12,12,0,5,11,24,47,81,19,0,5,32,24,27,12,29395138.0,12498304.0,2877264.0,5639920.0,3254264.0,9066094.0,8557596.0,7612384.0,4885920.0,5184504,0.0,2255968.0,4495046.0,10224239.0,19733685,27832852.0,6517576.0,0,1688960.0,11071735.0,8361557.0,9156576.0,4071600.0,647,331,103,102,90,188,164,205,126,156,0,120,150,236,316,645,180,0,42,295,174,229,84,1,0
16,2019-1,1,U,관광특구,0,이태원 관광특구,16,스포츠클럽,394722099.0,3537,73,27,13,10,13,28,10,16,11,0,15,18,36,30,2,57,43,0,11,37,26,22,5,288352956.0,106369143.0,50070923.0,38297772.0,50257200.0,110220502.0,39506559.0,63199611.0,43169532.0,0,58372811.0,72016374.0,140488862.0,117900296.0,5943756,221919351.0,170255424.0,0,44538946.0,145221116.0,100229755.0,84421278.0,17763679.0,2317,1220,407,276,488,704,442,709,511,0,461,811,1082,1136,47,1661,1856,0,469,1587,781,622,58,3,0
17,2019-1,1,U,관광특구,0,이태원 관광특구,17,자동차수리,11798007.0,1218,73,27,9,14,24,16,10,22,5,0,6,40,35,18,2,47,53,0,13,30,31,19,6,8647968.0,3150039.0,1030496.0,1680411.0,2775312.0,1935108.0,1226641.0,2549892.0,600147.0,0,723105.0,4675289.0,4113200.0,2078557.0,207856,4874363.0,5530133.0,38058,1352526.0,3129546.0,3229083.0,1987803.0,667480.0,908,310,146,199,176,217,170,229,81,0,175,509,288,223,23,598,392,6,194,247,252,188,105,5,0
18,2019-1,1,U,관광특구,0,이태원 관광특구,18,자동차미용,19173444.0,349,80,20,18,17,14,10,23,20,0,0,7,28,37,28,0,50,50,0,12,47,35,4,2,15288862.0,3884582.0,3385646.0,3171815.0,2601601.0,1817557.0,4312243.0,3884582.0,0.0,0,1389896.0,5345755.0,7092036.0,5345757.0,0,8695763.0,8767040.0,0,2031388.0,8232463.0,6165438.0,641491.0,392022.0,279,70,57,50,49,36,87,70,0,0,21,92,129,107,0,171,143,0,42,150,100,14,7,1,0
19,2019-1,1,U,관광특구,0,이태원 관광특구,19,미용실,607552793.0,7891,59,42,6,10,12,15,16,30,11,0,1,19,36,39,6,31,69,0,24,39,17,12,9,355722109.0,251830684.0,37034303.0,62388594.0,71694896.0,88448008.0,96156308.0,184211155.0,67619529.0,0,4409336.0,114260602.0,220695984.0,234394122.0,33792749,188258728.0,411565032.0,110275,141573460.0,235012778.0,99994803.0,71162015.0,51970429.0,5017,2874,622,749,1021,1122,1503,1991,883,0,149,1442,2549,3261,490,4022,3836,5,2235,2984,1199,875,558,21,0
