,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00_06_매출_비율,시간대_06_11_매출_비율,시간대_11_14_매출_비율,시간대_14_17_매출_비율,시간대_17_21_매출_비율,시간대_21_24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수_06_매출_건수,시간대_건수_11_매출_건수,시간대_건수_14_매출_건수,시간대_건수_17_매출_건수,시간대_건수_21_매출_건수,시간대_건수_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,거리두기_단계
10,2019-1,1,R,전통시장,0,용산용문시장,15,치과의원,1014272857.0,7117,89,11,20,21,11,19,18,11,0,0,10,22,45,23,0,51,49,0,5,5,13,22,55,902897195.0,111375662.0,206754262.0,210305642.0,112711211.0,192666296.0,180459784.0,111375662.0,0.0,0,105142318.0,219759752.0,454305193.0,235065594.0,0,514679243.0,499593614.0,408672,54249246.0,49933839.0,136223352.0,218047919.0,555409829.0,6416,701,1360,1326,1235,1193,1302,701,0,0,673,1778,2867,1799,0,3418,3699,14,455,519,1149,2032,2948,12,0
11,2019-1,1,R,전통시장,0,용산용문시장,16,한의원,26698744.0,2829,62,38,19,16,11,8,8,38,0,0,8,54,25,13,0,37,63,0,2,7,20,15,56,16435353.0,10263391.0,4994590.0,4169774.0,2964108.0,2193702.0,2113179.0,10263391.0,0.0,0,2030480.0,14326527.0,6753033.0,3588704.0,0,9797664.0,16901080.0,0,446140.0,1895549.0,5436376.0,4111014.0,14809665.0,2242,587,632,522,478,284,326,587,0,0,414,1261,762,392,0,1589,1240,0,44,131,653,304,1697,3,0
12,2019-1,1,R,전통시장,0,용산용문시장,18,자동차수리,281513913.0,1146,73,27,15,12,19,7,20,11,16,4,3,21,15,42,15,74,26,0,7,17,35,17,24,204952045.0,76561868.0,41261947.0,32442871.0,54425629.0,20424368.0,56397230.0,30341404.0,46220464.0,10212184,7910015.0,60092506.0,42891175.0,118437727.0,41970306,199768914.0,71025158.0,0,18135707.0,46808962.0,95540836.0,46793091.0,63515475.0,756,390,154,141,118,141,202,153,237,36,36,201,248,401,224,797,301,0,98,218,363,179,241,6,0
13,2019-1,1,R,전통시장,0,용산용문시장,19,미용실,155527412.0,5086,68,32,16,9,10,13,21,18,14,0,2,16,29,46,7,30,70,1,3,10,13,30,43,106246615.0,49280797.0,24304220.0,13341179.0,15582116.0,20409200.0,32609900.0,27555753.0,21725044.0,0,2552310.0,25197961.0,44997269.0,71588858.0,11191014,46051098.0,109476314.0,2065279,5299961.0,15658217.0,19618866.0,46749136.0,66135953.0,3819,1267,988,502,539,654,1136,863,404,0,155,820,1450,2470,191,1652,3434,67,270,567,699,1338,2145,24,0
14,2019-1,1,R,전통시장,0,용산용문시장,20,네일숍,581337.0,20,100,0,0,38,28,0,34,0,0,0,0,0,34,66,0,0,100,0,66,0,34,0,0,581337.0,0.0,0.0,218001.0,165153.0,0.0,198183.0,0.0,0.0,0,0.0,0.0,198183.0,383154.0,0,0.0,581337.0,0,383154.0,0.0,198183.0,0.0,0.0,20,0,0,6,7,0,7,0,0,0,0,0,7,13,0,0,20,0,13,0,7,0,0,2,0
15,2019-1,1,R,전통시장,0,용산용문시장,21,피부관리실,4298171.0,43,100,0,0,30,43,27,0,0,0,66,0,0,0,9,25,100,0,0,25,25,27,18,6,4298171.0,0.0,0.0,1303940.0,1835174.0,1159057.0,0.0,0.0,0.0,2849350,0.0,0.0,0.0,386352.0,1062469,4298171.0,0.0,0,1062470.0,1062469.0,1159057.0,772705.0,241470.0,43,0,0,14,15,14,0,0,0,33,0,0,0,5,5,43,0,0,10,5,14,9,5,2,0
16,2019-1,1,R,전통시장,0,용산용문시장,24,노래방,59374574.0,858,61,39,10,10,14,17,11,20,19,29,0,0,3,25,43,88,12,0,2,6,21,35,35,36097026.0,23277548.0,5909396.0,5692949.0,8255449.0,9830619.0,6408613.0,11945781.0,11331767.0,17321204,0.0,0.0,1762240.0,15009547.0,25281583,50893430.0,7109400.0,0,1353866.0,3574907.0,12434225.0,20217721.0,20422110.0,528,330,108,86,95,134,105,175,155,238,0,0,20,233,367,660,178,0,67,87,176,242,266,6,0
17,2019-1,1,R,전통시장,0,용산용문시장,25,슈퍼마켓,684392962.0,65127,66,34,15,11,13,13,13,17,18,3,8,17,21,39,12,52,48,1,9,20,25,23,23,449638727.0,234754235.0,103161341.0,75970525.0,90698912.0,90836115.0,88971834.0,115275263.0,119478972.0,19366555,56487454.0,112943597.0,142613560.0,268022758.0,84959038,341352418.0,316224506.0,4708962,55716297.0,130299831.0,161468087.0,153298917.0,152084828.0,44838,20289,9254,7927,9121,9477,9059,10315,9974,2234,5395,9748,13026,25185,9539,35139,28687,837,7628,14729,16376,13215,11041,15,0
18,2019-1,1,R,전통시장,0,용산용문시장,29,미곡판매,247437611.0,11647,81,19,17,15,13,17,19,13,6,0,13,24,32,31,0,20,80,0,1,5,13,46,36,199335269.0,48102342.0,42185991.0,36089364.0,32294288.0,42001359.0,46764267.0,32198916.0,15903426.0,0,31796753.0,58333728.0,79695053.0,77612077.0,0,48553644.0,195005877.0,0,1342806.0,10885142.0,31734053.0,112456869.0,87140651.0,9208,2439,2278,1496,1745,1828,1861,1791,648,0,1315,2325,4499,3508,0,3023,8496,0,346,653,1346,5094,4079,6,0
19,2019-1,1,R,전통시장,0,용산용문시장,30,육류판매,1417882718.0,41694,65,35,15,11,10,11,18,23,12,0,9,29,30,31,1,36,64,0,4,8,18,28,43,923181847.0,494700871.0,213453835.0,150388524.0,147777904.0,161224699.0,250336885.0,326569876.0,168130995.0,0,124167481.0,415755930.0,424548500.0,444052078.0,9358729,486381780.0,848479980.0,70239,48793524.0,107535186.0,240580340.0,370497234.0,567385232.0,26879,14815,5782,4371,4857,5529,6340,8522,6293,0,3061,8358,13870,16139,266,15116,25132,7,1552,4965,10439,13023,10258,20,0
